name,address,store_number,lat,lng,status
Vista,"1755 HACIENDA DR, VISTA, CA 92081",#124,33.188328,-117.27652,inactive
Westlake Village,"5700 LINDERO CANYON RD, WESTLAKE VILLAGE, CA 91362",#117,34.151905,-118.797112,inactive
Westminster Business Center,"13225 BEACH BLVD, WESTMINSTER, CA 92683",#943,33.768929,-117.993431,active
Woodland,"2299 BRONZE STAR DR, WOODLAND, CA 95776",#1003,38.67255,-121.722214,inactive
Woodland Hills,"21800 VICTORY BLVD, WOODLAND HILLS, CA 91367",#1205,34.187119,-118.603249,inactive
Yorba Linda,"22633 SAVI RANCH PKWY, YORBA LINDA, CA 92887",#445,33.876053,-117.743774,inactive
Albany,"3130 KILLDEER AVE SE, ALBANY, OR 97322",#682,44.638535,-123.065308,inactive
Aloha,"15901 SW JENKINS RD, ALOHA, OR 97006",#9,45.50922,-122.841621,inactive
Bend,"62207 NW COSTCO DRIVE, BEND, OR 97703",#1696,44.106476,-121.305016,inactive
Central Point,"3075 HAMRICK ROAD, CENTRAL POINT, OR 97502",#1287,42.373951,-122.887886,inactive
Clackamas,"13130 SE 84TH AVE, CLACKAMAS, OR 97015",#97,45.428528,-122.575211,inactive
Eugene,"2828 CHAD DR, EUGENE, OR 97408",#17,44.088699,-123.065826,inactive
Hillsboro,"1255 NE 48TH AVE, HILLSBORO, OR 97124",#692,45.536224,-122.935661,inactive
Portland,"4849 NE 138TH AVE, PORTLAND, OR 97230",#2,45.559727,-122.52478,inactive
Roseburg,"4141 NE STEPHENS ST, ROSEBURG, OR 97470",#1073,43.25922,-123.349564,inactive
Salem,"4885 27TH AVE. SE, SALEM, OR 97306",#1492,44.883869,-123.007851,inactive
Tigard,"7850 SW DARTMOUTH ST, TIGARD, OR 97223",#111,45.434586,-122.758324,inactive
Warrenton,"1804 SE ENSIGN LN, WARRENTON, OR 97146",#1059,46.147133,-123.913734,inactive
Wilsonville,"25900 SW HEATHER PL, WILSONVILLE, OR 97070",#766,45.332638,-122.76339,inactive
Aurora Village,"1175 N 205TH ST, SHORELINE, WA 98133",#106,47.775017,-122.344887,inactive
Bellingham,"4125 ARCTIC AVE, BELLINGHAM, WA 98226",#1216,48.792263,-122.51461,inactive
Bonney Lake,"9801 204TH AVE E, BONNEY LAKE, WA 98391",#1278,47.167225,-122.159554,inactive
Burlington WA,"1725 S BURLINGTON BLVD, BURLINGTON, WA 98233",#662,48.45414,-122.337135,inactive
Clarkston,"301 5TH ST, CLARKSTON, WA 99403",#103,46.423084,-117.043159,inactive
Covington WA,"27520 COVINGTON WAY SE, COVINGTON, WA 98042",#1029,47.355381,-122.121872,inactive
E Vancouver WA,"19610 SE 1ST ST, CAMAS, WA 98607",#1086,45.622543,-122.472054,inactive
Everett WA,"10200 19TH AVE SE, EVERETT, WA 98208",#114,47.90353,-122.210121,inactive
Federal Way,"35100 ENCHANTED PKWY S, FEDERAL WAY, WA 98003",#61,47.286968,-122.30986,inactive
Fife Business Center,"3900 20TH ST E, FIFE, WA 98424",#767,47.238258,-122.373329,inactive
Gig Harbor,"10990 HARBOR HILL DR NW, GIG HARBOR, WA 98332",#624,47.357319,-122.604362,inactive
Issaquah,"1801 10TH AVE NW, ISSAQUAH, WA 98027",#110,47.551296,-122.052818,inactive
Kennewick,"8505 W. GAGE BLVD, KENNEWICK, WA 99336",#486,46.225506,-119.234695,inactive
Kirkland,"8629 120TH AVE NE, KIRKLAND, WA 98033",#8,47.680733,-122.181694,inactive
Lacey,"1470 MARVIN RD NE, LACEY, WA 98516",#740,47.060768,-122.760628,inactive
Lake Stevens,"9210 24TH STREET SE, LAKE STEVENS, WA 98258",#1588,47.974384,-122.104622,inactive
Lynnwood,"18109 33RD AVE W, LYNNWOOD, WA 98037",#1190,47.834515,-122.273621,inactive
Lynnwood Business Center,"19105 HIGHWAY 99, LYNNWOOD, WA 98036",#115,47.825371,-122.309891,inactive
Marysville WA,"16616 TWIN LAKES AVE, MARYSVILLE, WA 98271",#642,48.1474,-122.19194,inactive
N Spokane,"12020 N NEWPORT HWY, SPOKANE, WA 99218",#1298,47.766869,-117.382355,inactive
Puyallup,"1201 39TH AVE SW, PUYALLUP, WA 98373",#660,47.155724,-122.307816,inactive
Redmond,"7725 188TH AVE NE, REDMOND, WA 98052",#1225,47.674244,-122.091614,inactive
Ridgefield,"519 N. 56TH PL., RIDGEFIELD, WA 98642",#1703,45.819511,-122.692474,inactive
Seattle,"4401 4TH AVE S, SEATTLE, WA 98134",#1,47.565304,-122.330757,inactive
Sequim,"955 W WASHINGTON ST, SEQUIM, WA 98382",#639,48.076675,-123.125427,inactive
Silverdale,"10000 MICKELBERRY RD NW, SILVERDALE, WA 98383",#13,47.656921,-122.681152,inactive
Spokane,"5601 E SPRAGUE AVE, SPOKANE, WA 99212",#670,47.658627,-117.333664,inactive
Tacoma,"2219 S 37TH ST, TACOMA, WA 98409",#95,47.22525,-122.46814,inactive
Tukwila,"400 COSTCO DR STE 150, TUKWILA, WA 98188",#6,47.445408,-122.248665,inactive
Tumwater,"5500 LITTLEROCK RD SW, TUMWATER, WA 98512",#64,46.996105,-122.916161,inactive
Union Gap,"2310 LONGFIBRE RD, UNION GAP, WA 98903",#1013,46.562111,-120.50071,inactive
Vancouver WA,"6720 NE 84TH ST, VANCOUVER, WA 98665",#772,45.685459,-122.603775,inactive
Wenatchee,"375 HIGHLINE DR, EAST WENATCHEE, WA 98802",#112,47.401428,-120.279877,inactive
Woodinville,"24008 SNOHOMISH WOODINVILLE RD, WOODINVILLE, WA 98072",#747,47.779465,-122.148232,inactive
, ,,,,
, ,,,,
, ,,,,
, ,,,,
, ,,,,
, ,,,,
, ,,,,
, ,,,,
, ,,,,
, ,,,,
, ,,,,
, ,,,,
, ,,,,
